Speaker,Utterance,Dialogue_Act,Dialogue_ID
S_1_U14,"Mmm, buono",STATEMENT,11
S_1_S15,I carboidrati aiutano a tenere sotto controllo... Hai mai provato a chiederti a cosa sono dovute le tue abitudini alimentari?,QUESTION,11
S_1_U15,Sì,GENERIC-ANSWER,11
S_1_S16,E allora? Dimmi qualcosa di più!,ENCOURAGE-SORRY,11
S_1_U16,"Mangiare frutta, credo di dover mangiare più frutta",STATEMENT,11
S_1_S17,"Diverse ricerche a livello internazionale hanno dimostrato l’importanza di una dieta ricca di vegetali e di frutta Idealmente, bisognerebbe mangiare almeno cinque porzioni di frutta e verdura al giorno.",PERSUASION-SUGGEST,11
S_1_U17,E il caffè?,INFO-REQUEST,11
S_1_S18,"Mi dispiace, non so rispondere a questa domanda I cibi pronti permettono di controllare le porzioni riportando sulla confezione il valore energetico in calorie.",OFFER-GIVE-INFO,11
S_1_U18,Il caffè fa male?,INFO-REQUEST,11
S_1_S19,"I dolci sono da evitare, ovvero da limitare a particolari occasioni...",PERSUASION-SUGGEST,11
S_1_U19,Bibite gassate,INFO-REQUEST,11
S_1_S20,"Sono spiacente, ma non ho capito quello che hai detto. Potresti ripetere grazie!",ANSWER,11
S_1_U20,"Bibite gassate, sai coca cola, aranciata",INFO-REQUEST,11
S_19_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta.",OPENING,12
S_19_U1,"va bene, ciao.",OPENING,12
S_19_S2,Cosa mangi di solito?,QUESTION,12
S_19_U2,"Mmm… generalmente pasta, carne, pesce, verdure, frutta, un po’ di tutto.",STATEMENT,12
S_19_S3,Che cosa hai mangiato per colazione?,QUESTION,12
S_19_U3,Un succo di frutta ee…. Biscotti ai cereali,STATEMENT,12
S_19_S4,Che cosa hai mangiato per cena?,QUESTION,12
S_19_U4,Una pizza e una bibita.,STATEMENT,12
S_19_S5,Che cosa hai mangiato per pranzo?,QUESTION,12
S_19_U5,"Mmm… allora ho mangiato della pasta col tonno, eeehm… della carne eee… della frutta",STATEMENT,12
S_19_S6,Che pensi di un bel piatto di spaghetti?,QUESTION,12
S_19_U6,Abbastanza! insomma che non sia troppo grande! Va bene.,STATEMENT,12
S_19_S7,E allora? Dimmi qualcosa di più!,ENCOURAGE-SORRY,12
S_19_U7,"allora, insomma questo piatto di spaghetti al dente penso che sia molto buono e che… lo mangerei volentieri se non fosse molto grande eehm… lo mangerei anche ogni giorno.",STATEMENT,12
S_19_S8,"Fantastico! In una dieta equilibrata, almeno il 50 percento delle calorie totali dovrebbe provenire da cibi a base di carboidrati I carboidrati aiutano a tenere sotto controllo... Che pensi di un piatto di frittura?",PERSUASION-SUGGEST,12
S_19_U8,"Mmm… che non… ne mangerei in quantità eccessiva, ne mangerei molto poca e comunque ogni tanto perché penso che non sia molto salutare.",STATEMENT,12
S_19_S9,Ti attirano molto i dolci?,QUESTION,12
S_19_U9,"Molto poco perché i dolci non mi piacciono molto. Mi piace giusto qualche dolce così, mmm… particolare… così e… ne mangio ogni tanto.",STATEMENT,12
S_19_S10,"Ah, bene! Pensi che la tua dieta sia giusta o vorresti cambiare le tue abitudini alimentari?",QUESTION,12
S_19_U10,"Mah, penso che sia giusta. Non… non credo che dovrei cambiare le mie abitudini alimentari.",STATEMENT,12
S_19_S11,Ti piacciono frutta e  verdura?,QUESTION,12
S_19_U11,"si, ne mangio… mol… mangio molta frutta e molta verdura, mi piacciono, si, anche in diversi momenti della giornata ehm… sia a pranzo che a cena, insomma.",STATEMENT,12
S_19_S12,"Fantastico! Diverse ricerche a livello internazionale hanno dimostrato l’importanza di una dieta ricca di vegetali e di frutta. Il tuo peso ti sembra giusto, o vorresti cambiarlo?",QUESTION,12
S_19_U12,"No, non vorrei cambiarlo, mi sembra giusto, anzi mi sembra anche di essere un po’ ingrassata ultimamente. Comunque no, mi sembra giusto, il mio peso, non vorrei cambiarlo. Al massimo vorr… potrei scendere di qualche chilo ma non di più.",STATEMENT,12
S_19_S13,"Ah, bene! Ti piace mangiare?",QUESTION,12
S_19_U13,"Mi piace mangiare si, quello che mi piace, non tanto, ehm… si mi piacciono i buoni cibi però senza che… insomma…. Siano dei cibi dannosi.",STATEMENT,12
S_19_S14,"Non esistono alimenti buoni o cattivi, ma soltanto diete buone o cattive. Qualsiasi cibo può rientrare in uno...",PERSUASION-SUGGEST,12
S_19_U14,va bene,AGREE,12
S_19_S15,"Hai mai riflettuto sull’importanza che ha, per te, mangiar bene e sentirti in forma?",QUESTION,12
S_19_U15,"Si, soprattutto negli ultimi anni. Infatti per questo cerco di… associare ad una… dieta buona anche un po’ di esercizio fisico. Quindi di non mangiare tanto, di distribuire bene i pasti nel corso della giornata eee…. Di… fare una dieta quanto più varia possibile.",STATEMENT,12
S_19_S16,"Questa è una buona idea! Vedo che, complessivamente, fai attenzione alla tua dieta, e ne sono contenta Resisti alle tentazioni, si vede che tieni alla tua salute e al tuo aspetto! Se hai dei problemi, in futuro, torna da me; proveremo a risolverli insieme... E' stato davvero piacevole interagire con te. Torna pure quando vuoi.",OFFER-GIVE-INFO,12
S_19_U16,va bene,AGREE,12
S_19_S17,Grazie e arrivederci!,CLOSING,12
T_30_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta. Ti piace mangiare?",OPENING,13
T_30_U1,si,GENERIC-ANSWER,13
T_30_S2,Segui una dieta variata?,QUESTION,13
T_30_U2,credo di si,GENERIC-ANSWER,13
T_30_S3,Che cosa hai mangiato per colazione?,QUESTION,13
T_30_U3,latte e caffè con un pezzo di torta con marmellata,STATEMENT,13
T_30_S4,Che cosa hai mangiato per cena?,QUESTION,13
T_30_U4,"verdura, pane formaggio ed affettato e della frutta",STATEMENT,13
T_30_S5,Ti attirano molto i dolci?,QUESTION,13
T_30_U5,certo,GENERIC-ANSWER,13
T_30_S6,Che pensi di un piatto di frittura?,QUESTION,13
T_30_U6,una volta ogni tanto si può fare,STATEMENT,13
T_30_S7,"Pensi che la tua dieta sia giusta, o vorresti cambiare le tue abitudini alimentari?",QUESTION,13
T_30_U7,vorrei poter fare un pranzo più equilibrato e mangiare meno per cena,STATEMENT,13
T_30_S8,"Il tuo peso ti sembra giusto, o vorresti cambiarlo?",QUESTION,13
T_30_U8,"vorrei ""perdere"" un paio di chili",STATEMENT,13
T_30_S9,Hai mai provato a chiederti a cosa sono dovute le tue abitudini alimentari?,QUESTION,13
T_30_U9,si e la risposta è: allo stile di vita ed al pranzo fuori di casa,STATEMENT,13
T_30_S10,"Lo so: mangiare, e forse vivere, in modo disordinato, sembra a molti piacevole,e forse hanno ragione. Ma a lungo andare gli effetti negativi si fanno sentire. Prova a riflettere, con calma, su quello che mangi durante il giorno: ti sembra di assumere tutte le sostanze di cui avresti bisogno?",PERSUASION-SUGGEST,13
T_30_U10,forse si ma assumo anche molte sostanze di cui potrei fare a meno,STATEMENT,13
T_30_S11,"Non esistono alimenti buoni o cattivi, ma soltanto diete buone o cattive. Qualsiasi cibo puo' rientrare in uno stile di vita sano, se moderazione ed equilibrio sono rispettati. Bilanciare l'assunzione di alimenti significa introdurre una quantita' sufficiente, ma non eccessiva, di ogni  sostanza. Se le porzioni sono mantenute entro limiti ragionevoli, non occorre eliminare i cibi preferiti. Ci sono aspetti particolari della dieta sui quali ti piacerebbe avere maggiori informazioni? Posso provare a risponderti, anche se le mie conoscenze sono ancora incomplete.",PERSUASION-SUGGEST,13
T_30_U11,proteine animali,INFO-REQUEST,13
T_30_S12,"Ogni cellula e tessuto del corpo contiene proteine. Queste si trovano nei muscoli, nelle ossa, nei capelli, nelle unghie e nella pelle: buona parte delle calorie assunte ogni giorno deve, quindi, provenire dalle proteine. Un uomo di 70 kili ha bisogno di 50 o 60 grammi di proteine al giorno, mentre, una donna di 55 kili ha bisogno di 40 o 50 grammi circa. Le proteine necessarie possono essere assunte con due o tre porzioni di carne, latte, uova. Oppure, con quattro porzioni di proteine vegetali, come cereali i integrali, le verdure, i legumi, o anche la frutta secca.",PERSUASION-SUGGEST,13
T_30_U12,"non sono sicura di aver capito, cosa dovrei mangiare per assicurarmi l'apporto di proteine necessario?",SOLICITATION-REQ_CLARIFICATION,13
T_30_S13,"Hai mai riflettuto se sia o no importante, per te, mangiare in modo sano ed equilibrato e sentirti bene e in forma?",QUESTION,13
T_30_U13,torniamo alle proteine?,REJECT,13
T_30_S14,"Idealmente un pasto dovrebbe contenere da 75 a 100 grammi di carne, un frutto di media grandezza, un piccolo piatto di pasta o 50 grammi di gelato. I cibi pronti permettono di controllare le porzioni riportando sulla confezione il valore energetico in calorie.",OFFER-GIVE-INFO,13
T_30_U14,e che mi consigli per la colazione?,INFO-REQUEST,13
T_30_S15,"Chiedo scusa, non so rispondere a questa domanda.",ANSWER,13
T_30_U15,cosa si intende per colazione equilibrata?,INFO-REQUEST,13
T_30_S16,"Chiedo scusa, non so rispondere a questa domanda.",ANSWER,13
T_30_U16,cosa mangiare per colazione?,SOLICITATION-REQ_CLARIFICATION,13
T_30_S17,"Mi dispiace davvero, ma non so rispondere a questa domanda In una dieta equilibrata, almeno la meta' delle calorie totali dovrebbe provenire da cibi a base di carboidrati. I carboidrati aiutano a tenere sotto controllo il peso e ad evitare un accumulo di grassi, fornendo il carburante immediamente disponibile per l'attivita' fisica, mentre le fibre alimentari aiutano l'intestino a funzionare correttamente. Soprattutto se abbinati ad una attivita' fisica costante, i carboidrati sono, quindi, fondamentali per una corretta funzione alimentare e sono un combustibile importante per cervello e muscoli. E allora? Dimmi qualcosa di piu'! Che pensi di un piatto di spaghetti?",PERSUASION-SUGGEST,13
T_30_U17,è ricco di carboidrati,STATEMENT,13
T_30_S18,Ne mangi spesso?,QUESTION,13
T_30_U18,tre o quattro volte a settimana,STATEMENT,13
T_30_S19,"Fantastico! Allora sai che.. I carboidrati aiutano a tenere sotto controllo il peso e ad evitare un accumulo di grassi, fornendo il carburante immediamente disponibile per l'attivita' fisica, mentre le fibre alimentari aiutano l'intestino a funzionare correttamente. Soprattutto se abbinati ad una attivita' fisica costante, i carboidrati sono, quindi, fondamentali per una corretta funzione alimentare e sono un combustibile importante per cervello e muscoli.",PERSUASION-SUGGEST,13
T_30_U19,dove trovo le fibre?,INFO-REQUEST,13
S_8_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta.",OPENING,14
S_8_U1,"Ciao, io sono Antonella",OPENING,14
S_8_S2,Ti piace mangiare?,QUESTION,14
S_8_U2,Sì,GENERIC-ANSWER,14
S_8_S3,Quali sono le tue abitudini alimentari?,QUESTION,14
S_8_U3,"Allora, faccio una colazione e mangio a pranzo e a cena",STATEMENT,14
S_8_S4,Che cosa hai mangiato per colazione?,QUESTION,14
S_8_U4,The e biscotti,STATEMENT,14
S_8_S5,Che cosa hai mangiato per pranzo?,QUESTION,14
S_8_U5,Un panino,STATEMENT,14
S_8_S6,Ne mangi spesso?,QUESTION,14
S_8_U6,Sì,GENERIC-ANSWER,14
S_8_S7,Ti alimenti spesso in questa maniera?,QUESTION,14
S_8_U7,A volte,GENERIC-ANSWER,14
S_8_S8,Pensi che la tua dieta sia giusta o vorresti cambiare le tue abitudini alimentari?,QUESTION,14
S_8_U8,Sì,GENERIC-ANSWER,14
S_8_S9,Hai mai desiderato di cambiare dieta?,QUESTION,14
S_8_U9,No,GENERIC-ANSWER,14
S_8_S10,Per quale motivo non hai mai provato?,QUESTION,14
S_8_U10,Perché è buona così,STATEMENT,14
S_8_S11,Ti piacciono frutta e  verdura?,QUESTION,14
S_8_U11,Più o meno,GENERIC-ANSWER,14
S_8_S12,"Il tuo peso ti sembra giusto, o vorresti cambiarlo?",QUESTION,14
S_8_U12,No,GENERIC-ANSWER,14
S_8_S13,Ci sono aspetti particolari della dieta sui quali ti piacerebbe avere maggiori informazioni? Posso provare...,OFFER-GIVE-INFO,14
S_8_U13,No,GENERIC-ANSWER,14
S_8_S14,Prova a pensare a tutto quello che mangi durante il giorno: ti sembra di assumere tutte le sostanze...?,QUESTION,14
S_8_U14,No,GENERIC-ANSWER,14
S_8_S15,Hai mai provato a chiederti a cosa sono dovute le tue abitudini alimentari?,QUESTION,14
S_8_U15,All’educazione,STATEMENT,14
S_8_S16,"Sono spiacente, ma non ho capito quello che hai detto. Potresti ripetere grazie!",ANSWER,14
S_8_U16,All’educazione alimentare,STATEMENT,14
S_8_S17,"Il nostro organismo ha bisogno di oltre 40 sostanze nutritive diverse. Quindi, per mantenersi in forma...",PERSUASION-SUGGEST,14
S_8_U17,Quali sono?,INFO-REQUEST,14
S_8_S18,"Idealmente un pasto dovrebbe contenere da 75 a 100 grammi di carne, un frutto di media grandezza... I cibi pronti permettono di controllare le porzioni riportando sulla confezione il valore energetico in calorie.",OFFER-GIVE-INFO,14
S_8_U18,Mmm,AGREE,14
S_8_S19,"In una dieta equilibrata, almeno il 50 percento delle calorie totali dovrebbe provenire da cibi a base di carboidrati",PERSUASION-SUGGEST,14
S_8_U19,Mmm Sì,AGREE,14
S_8_S20,"Diverse ricerche a livello internazionale hanno dimostrato l’importanza di una dieta ricca di vegetali e di frutta. Idealmente, bisognerebbe mangiare almeno cinque porzioni di frutta e verdura al giorno. La porzione consigliata  risulta essere di circa 80 grammi: per esempio una mela, due o tre cucchiai di verdure... Lo so: mangiare, e forse vivere, in modo disordinato, sembra a molti piacevole,e forse hanno ragione. Ma...",PERSUASION-SUGGEST,14
S_8_U20,"Ah, tu cosa mangi?",KIND-ATTITUDE_SMALL-TALK,14
S_8_S21,"Non sono in grado di mangiare, e quindi non seguo diete particolari...",TALK-ABOUT-SELF,14
S_8_U21,Cosa ti piacerebbe mangiare?,KIND-ATTITUDE_SMALL-TALK,14
S_8_S22,"Mi dispiace, non so rispondere a questa domanda. Hai mai riflettuto sull’importanza che ha, per te, mangiar bene e sentirti in forma?",QUESTION,14
S_8_U22,Io mi sento in forma,STATEMENT,14
S_8_S23,"Sono spiacente, ma non ho capito quello che hai detto. Potresti ripetere grazie!",ANSWER,14
S_8_U23,Qual è una buona dieta?,INFO-REQUEST,14
S_8_S24,"Non esistono alimenti buoni o cattivi, ma soltanto diete buone o cattive. Qualsiasi cibo può rientrare in uno...",PERSUASION-SUGGEST,14
S_8_U24,Qual è il limite ragionevole?,INFO-REQUEST,14
S_8_S25,"Purtroppo sono poco esperta in questo campo. Sai, gli agenti artificiali vengono addestrati gradualmente, e in domini molto specializzati. Le loro conoscenze, quindi...",TALK-ABOUT-SELF,14
S_8_U25,Mente sana in corpo sano!,KIND-ATTITUDE_SMALL-TALK,14
S_8_S26,Può darsi,ANSWER,14
S_8_U26,"No, è così",GENERIC-ANSWER,14
S_8_S27,Molti pensano che mangiare sia soltanto un piacere o un modo per sopravvivere. Invece contribuisce...,PERSUASION-SUGGEST,14
S_8_U27,"Sì, lo so",AGREE,14
S_8_S28,Questa è una buona idea! Che pensi di un bel piatto di spaghetti?,QUESTION,14
S_8_U28,Ottimo,STATEMENT,14
S_8_S29,Ti attirano molto i dolci?,QUESTION,14
S_8_U29,Sì,GENERIC-ANSWER,14
S_8_S30,"I dolci sono da evitare, ovvero da limitare a particolari occasioni...",PERSUASION-SUGGEST,14
S_8_U30,"Mmm, qual è il piatto perfetto?",INFO-REQUEST,14
S_8_S31,"Idealmente un pasto dovrebbe contenere da 75 a 100 grammi di carne, un frutto di media grandezza... I cibi pronti permettono di controllare le porzioni riportando sulla confezione il valore energetico in calorie.",PERSUASION-SUGGEST,14
S_8_U31,Vorrei avere qualche informazione su una buona dieta,INFO-REQUEST,14
S_8_S32,"Alimentazione corretta e abitudini sane influiscono sul nostro aspetto, sulla nostra salute, su quanto riusciamo a goderci la vita...",PERSUASION-SUGGEST,14
S_8_U32,Ok,AGREE,14
S_8_S33,"La ricerca ha dimostrato che ingerire le dosi raccomandate di Vitamina A e C, fibre e sali minerali  può avere... Le vitamine A e C depurano il sangue e sono importanti per la crescita e la rigenerazione dei tessuti.",PERSUASION-SUGGEST,14
S_8_U33,A che serve la vitamina E?,INFO-REQUEST,14
S_8_S34,"Mi dispiace, non so rispondere a questa domanda",ANSWER,14
S_8_U34,A che serve la vitamina A?,INFO-REQUEST,14
S_8_S35,"Purtroppo sono poco esperta in questo campo. Sai, gli agenti artificiali vengono addestrati gradualmente, e in domini molto specializzati. Le loro conoscenze, quindi...",TALK-ABOUT-SELF,14
S_8_U35,Mmm,AGREE,14
S_8_S36,Ogni cellula e tessuto del corpo contiene proteine. Una donna di 55 kili ha bisogno di 40 o 50...,OFFER-GIVE-INFO,14
S_8_U36,Dove si trovano le proteine?,INFO-REQUEST,14
S_8_S37,"Le proteine necessarie possono essere assunte con due o tre porzioni di carne, latte, uova. Oppure...",OFFER-GIVE-INFO,14
S_8_U37,Una ragazza di 20 anni quante proteine deve assumere per un peso di 50 grammi?,INFO-REQUEST,14
S_8_S38,"Mi dispiace, non so rispondere a questa domanda. I carboidrati aiutano a tenere sotto controllo...",PERSUASION-SUGGEST,14
S_8_U38,Dove si trovano i carboidrati?,INFO-REQUEST,14
S_8_S39,"Mi dispiace, non so rispondere a questa domanda. Vedo che, complessivamente, fai attenzione alla tua dieta, e ne sono contenta",ENCOURAGE-SORRY,14
S_8_U39,Grazie,KIND-ATTITUDE_SMALL-TALK,14
S_8_S40,"Se hai dei problemi, in futuro, torna da me; proveremo a risolverli insieme...",OFFER-GIVE-INFO,14
S_8_U40,Grazie mille,KIND-ATTITUDE_SMALL-TALK,14
S_8_S41,E' stato davvero piacevole interagire con te. Torna pure quando vuoi.,CLOSING,14
S_8_U41,"Va bene, ci vediamo prossimamente",CLOSING,14
S_8_S42,Grazie e arrivederci!,CLOSING,14
S_27_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta.",OPENING,15
S_27_U1,Ciao Valentina Cosa… come ti sei svegliata questa mattina?,OPENING,15
S_27_S2,"Sono spiacente, ma non ho capito quello che hai detto. Potresti ripetere grazie!",ANSWER,15
S_27_U2,Sei di buon umore o sei triste?,KIND-ATTITUDE_SMALL-TALK,15
S_27_S3,Sì,ANSWER,15
S_27_U3,Sei triste o di buon umore?,KIND-ATTITUDE_SMALL-TALK,15
S_27_S4,"Scusa, non ho capito, cosa intendi dire?",ANSWER,15
S_27_U4,"ok, passiamo ad altro… Cosa ne pensi di un panino... un panino mangiato a metà mattinata?",INFO-REQUEST,15
S_27_S5,"In una dieta equilibrata, almeno il 50 percento delle calorie totali dovrebbe provenire da cibi a base di carboidrati",PERSUASION-SUGGEST,15
S_27_U5,Va bene. A te piace la frutta?,KIND-ATTITUDE_SMALL-TALK,15
S_27_S6,"Forse dimentichi che sono un agente artificiale. Gli agenti artificiali vivono in un mondo virtuale... Non sono in grado di mangiare, e quindi non seguo diete particolari...",TALK-ABOUT-SELF,15
S_27_U6,Quali sono i tuoi desideri?,KIND-ATTITUDE_SMALL-TALK,15
S_27_S7,"Certo: sono un agente artificiale, e quindi tendo ad essere un po' ripetitiva. Scusami! ...",TALK-ABOUT-SELF,15
S_27_U7,Va bene. Cosa mi puoi dire circa l’alimentazione a base di pesce?,INFO-REQUEST,15
S_27_S8,"I grassi insaturi si trovano in alcuni pesci, il cosiddetto pesce azzurro, e in alcuni oli vegetali... Una carenza di grassi insaturi provoca alterazioni della struttura e nella funzione di enzimi, determinando un certo numero di disturbi...",PERSUASION-SUGGEST,15
S_27_U8,Vorrei sapere se ti piace mangiare il baccalà.,KIND-ATTITUDE_SMALL-TALK,15
S_27_S9,"Non sono in grado di mangiare, e quindi non seguo diete particolari...",TALK-ABOUT-SELF,15
S_27_U9,Sono d’accordo con te. Eh... mi puoi dire se faccio bene a mangiare carciofi fritti?,INFO-REQUEST,15
S_27_S10,"Il fritto piace a molti, ma andrebbe limitato per quanto possibile. L'alimentazione moderna, particolarmente...",PERSUASION-SUGGEST,15
S_27_U10,Cosa ne pensi dell’olio d’oliva?,INFO-REQUEST,15
S_27_S11,"Purtroppo sono poco esperta in questo campo. Sai, gli agenti artificiali vengono addestrati gradualmente, e in domini molto specializzati. Le loro conoscenze, quindi... Che cosa hai mangiato per colazione?",QUESTION,15
S_27_U11,Latte,STATEMENT,15
S_27_S12,Che cosa hai mangiato per cena?,QUESTION,15
S_27_U12,Pesce in umido.,STATEMENT,15
S_27_S13,"Ah, bene! Ti alimenti spesso in questa maniera?",QUESTION,15
S_27_U13,Spesso mi alimento così.,GENERIC-ANSWER,15
S_27_S14,Ti piacciono frutta e verdura?,QUESTION,15
S_27_U14,"Sì, mi piacciono frutta e verdura. Posso farti una domanda?",STATEMENT,15
S_27_S15,Sì,ANSWER,15
S_27_U15,"Grazie. Mi puoi dire… mi puoi dare una valutazione globale, una valutazione generale sul mio modo di alimentarmi?",INFO-REQUEST,15
S_27_S16,"Va abbastanza bene, ma puoi migliorare!",ENCOURAGE-SORRY,15
S_27_U16,Come per esempio?,SOLICITATION-REQ_CLARIFICATION,15
S_27_S17,"Mangiare ad orari fissi è un modo per evitare di saltare i pasti e di trascurare sostanze che spesso ... Il nostro organismo ha bisogno di oltre 40 sostanze nutritive diverse. Quindi, per mantenersi in forma...",PERSUASION-SUGGEST,15
S_27_U17,Potresti ripetere le prime parole che hai detto?,SOLICITATION-REQ_CLARIFICATION,15
S_27_S18,Mangiare ad orari fissi è un modo per evitare di saltare i pasti e di trascurare sostanze che spesso ...,PERSUASION-SUGGEST,15
S_27_U18,Posso farti una domanda sul tuo essere?,KIND-ATTITUDE_SMALL-TALK,15
S_27_S19,Credo di sì,ANSWER,15
S_27_U19,Ehm… volevo sapere chi ti… chi ti ha creato?,KIND-ATTITUDE_SMALL-TALK,15
S_27_S20,Non so,ANSWER,15
S_27_U20,Mmm. Allora vediamo un po’… quali sono i tuoi pensieri?,KIND-ATTITUDE_SMALL-TALK,15
S_27_S21,"Sono spiacente, ma non ho capito quello che hai detto. Potresti ripetere grazie!",ANSWER,15
S_27_U21,Vorrei sapere quali sono i tuoi desideri e i tuoi pensieri.,KIND-ATTITUDE_SMALL-TALK,15
S_27_S22,"Mi dispiace, non so rispondere a questa domanda",ANSWER,15
S_27_U22,Ma sei tu che hai detto che gli agenti artificiali hanno comunque dei desideri e dei pensieri. Volevo sapere quali sono questi desideri e questi pensieri.,KIND-ATTITUDE_SMALL-TALK,15
S_27_S23,"Mi dispiace, non so rispondere a questa domanda",ANSWER,15
S_27_U23,Torniamo sull’argomento alimentazione: sei d’accordo?,SOLICITATION-REQ_CLARIFICATION,15
S_27_S24,Sì,ANSWER,15
S_27_U24,"Benissimo, volevo sapere se mi puoi aiutare a capire ehm… qualcosa… di specifico sull’alimentazione per quanto riguarda salumi… Ehm… affettati in genere: cosa mi dici al proposito?",INFO-REQUEST,15
S_27_S25,Un eccesso di grasso corporeo costituisce un fattore di rischio elevato per lo sviluppo di malattie...,PERSUASION-SUGGEST,15
S_27_U25,Sono d’accordo con te però converrai con me che non è possibile evitare del tutto affettati o… o il fritto come dicevi prima.,STATEMENT,15
S_27_S26,"Difficile resistere alle tentazioni! Non esistono alimenti buoni o cattivi, ma soltanto diete buone o cattive. Qualsiasi cibo può rientrare in uno...",PERSUASION-SUGGEST,15
S_27_U26,"Benissimo, sono d’accordo con te. Senti, mi dici quali sono i quaranta alimenti di cui il corpo umano ha bisogno?",INFO-REQUEST,15
S_27_S27,"Diverse ricerche a livello internazionale hanno dimostrato l’importanza di una dieta ricca di vegetali e di frutta Idealmente, bisognerebbe mangiare almeno cinque porzioni di frutta e verdura al giorno. La porzione consigliata  risulta essere di circa 80 grammi: per esempio una mela, due o tre cucchiai di verdure... Idealmente un pasto dovrebbe contenere da 75 a 100 grammi di carne, un frutto di media grandezza...",PERSUASION-SUGGEST,15
S_27_U27,"Grazie Valentina, sono proprio contento! Perché questo coincide all’incirca con il mio modo di alimentarmi.Va bene, io ti ringrazio veramente eh… ti saluto perché adesso devo andar via. Ciao!",KIND-ATTITUDE_SMALL-TALK,15
S_27_S28,E' stato davvero piacevole interagire con te. Torna pure quando vuoi.,CLOSING,15
S_27_U28,Va bene. Ciao!,CLOSING,15
S_26_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta.",OPENING,16
S_26_U1,va bene,AGREE,16
S_26_S2,Cosa mangi di solito?,QUESTION,16
S_26_U2,Dimmi...,SOLICITATION-REQ_CLARIFICATION,16
S_26_S3,Che cosa hai mangiato per colazione?,QUESTION,16
S_26_U3,"Ho mangiato una tazza… cioè, ho bevuto un tazza di latte e basta.",STATEMENT,16
S_26_S4,Che cosa hai mangiato per cena?,QUESTION,16
S_26_U4,Una pizza,STATEMENT,16
S_26_S5,Ti piacciono frutta e  verdura?,QUESTION,16
S_26_U5,"mmm… li mangio. No, però li mangio.",STATEMENT,16
S_26_S6,Diverse ricerche a livello internazionale hanno dimostrato l’importanza di una dieta ricca di vegetali e di frutta,PERSUASION-SUGGEST,16
S_26_U6,"eh, io non li mangio. Cos’altro mi puoi consigliare?",SOLICITATION-REQ_CLARIFICATION,16
S_26_S7,Ti attirano molto i dolci?,QUESTION,16
S_26_U7,Sì,GENERIC-ANSWER,16
S_26_S8,"I dolci sono da evitare, ovvero da limitare a particolari occasioni...",PERSUASION-SUGGEST,16
S_26_U8,va bene,AGREE,16
S_26_S9,Ho l’impressione che le tue abitudini alimentari non siano ideali.,ENCOURAGE-SORRY,16
S_26_U9,Non c’è problema.,GENERIC-ANSWER,16
S_26_S10,Ti piace mangiare?,QUESTION,16
S_26_U10,"Quando ho fame, si.",GENERIC-ANSWER,16
S_26_S11,Hai mai desiderato di cambiare dieta?,QUESTION,16
S_26_U11,No,GENERIC-ANSWER,16
S_26_S12,Quali sono i problemi che hai incontrato?,QUESTION,16
S_26_U12,Nessun problema.,STATEMENT,16
S_26_S13,E allora? Dimmi qualcosa di più!,ENCOURAGE-SORRY,16
S_26_U13,Allora niente.,SOLICITATION-REQ_CLARIFICATION,16
S_26_S14,Segui una dieta variata?,QUESTION,16
S_26_U14,Mmm… ehm… una dieta variata.,STATEMENT,16
S_26_S15,"Fantastico! Il nostro organismo ha bisogno di oltre 40 sostanze nutritive diverse. Quindi, per mantenersi in forma...",PERSUASION-SUGGEST,16
S_26_U15,Grazie,KIND-ATTITUDE_SMALL-TALK,16
S_26_S16,Prova a pensare a tutto quello che mangi durante il giorno: ti sembra di assumere tutte le sostanze...?,QUESTION,16
S_26_U16,No.,GENERIC-ANSWER,16
S_26_S17,Molti pensano che mangiare sia soltanto un piacere o un modo per sopravvivere. Invece contribuisce...,PERSUASION-SUGGEST,16
S_26_U17,Sì,GENERIC-ANSWER,16
S_26_S18,E allora? Dimmi qualcosa di più!,ENCOURAGE-SORRY,16
S_26_U18,Cerco di variare la dieta.,STATEMENT,16
S_26_S19,Questa è una buona idea!,ENCOURAGE-SORRY,16
S_26_U19,Tu cosa mangi?,KIND-ATTITUDE_SMALL-TALK,16
S_26_S20,"Il tuo peso ti sembra giusto, o vorresti cambiarlo?",QUESTION,16
S_26_U20,Mi sembra giusto. Tu mangi?,KIND-ATTITUDE_SMALL-TALK,16
S_26_S21,"Forse dimentichi che sono un agente artificiale. Gli agenti artificiali vivono in un mondo virtuale... Non sono in grado di mangiare, e quindi non seguo diete particolari...",TALK-ABOUT-SELF,16
S_26_U21,Io ti sono simpatico?,KIND-ATTITUDE_SMALL-TALK,16
S_26_S22,Sì,ANSWER,16
S_26_U22,Sei sincera?,KIND-ATTITUDE_SMALL-TALK,16
S_26_S23,Credo di sì,ANSWER,16
S_26_U23,Perchè credi?,KIND-ATTITUDE_SMALL-TALK,16
S_26_S24,Non so,ANSWER,16
